rank,name,party,constituency,total_speeches,immigration_speeches,hardline_mentions,pro_mentions,immigration_speech_proportion,stance_balance,immigration_attitude_score,attitude_band
240,Lewis Cocking,Conservative,Broxbourne,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
241,Bradley Thomas,Conservative,Bromsgrove,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
242,Peter Fortune,Conservative,Bromley and Biggin Hill,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
243,Damien Egan,Labour,Bristol North East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
244,Carla Denyer,Green,Bristol Central,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
245,Blair McDougall,Labour,East Renfrewshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
246,Joani Reid,Labour,East Kilbride and Strathaven,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
247,Yuan Yang,Labour,Earley and Woodley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
248,Deirdre Costigan,Labour,Ealing Southall,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
249,Monica Harding,Liberal Democrat,Esher and Walton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
250,Adam Thompson,Labour,Erewash,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
251,Helen Maguire,Liberal Democrat,Epsom and Ewell,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
252,Charlotte Cane,Liberal Democrat,Ely and East Cambridgeshire,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
253,Scott Arthur,Labour,Edinburgh South West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
254,Tracy Gilbert,Labour,Edinburgh North and Leith,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
255,Chris Murray,Labour,Edinburgh East and Musselburgh,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
256,Liz Jarvis,Liberal Democrat,Eastleigh,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
257,Andrew Snowden,Conservative,Fylde,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
258,Anna Sabine,Liberal Democrat,Frome and East Somerset,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
259,Matt Bishop,Labour,Forest of Dean,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
260,Tony Vaughan,Labour,Folkestone and Hythe,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
261,Sarah Sackman,Labour,Finchley and Golders Green,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
262,Claire Hazelgrove,Labour,Filton and Bradley Stoke,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
263,Pat Cullen,Sinn Fein,Fermanagh and South Tyrone,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
264,Greg Stafford,Conservative,Farnham and Bordon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
265,Euan Stainbank,Labour,Falkirk,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
266,David Reed,Conservative,Exmouth and Exeter East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
267,Steve Race,Labour,Exeter,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
268,Harriet Cross,Conservative,Gordon and Buchan,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
269,Alex McIntyre,Labour,Gloucester,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
270,Richard Baker,Labour,Glenrothes and Mid Fife,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
271,Sarah Dyke,Liberal Democrat,Glastonbury and Somerton,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
272,Patricia Ferguson,Labour,Glasgow West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
273,Zubir Ahmed,Labour,Glasgow South West,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
274,Gordon McKee,Labour,Glasgow South,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
275,Maureen Burke,Labour,Glasgow North East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
276,Martin Rhodes,Labour,Glasgow North,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
277,John Grady,Labour,Glasgow East,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
278,Naushabah Khan,Labour,Gillingham and Rainham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
279,Michael Payne,Labour,Gedling,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
280,Mark Ferguson,Labour,Gateshead Central and Whickham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
281,Andy Slaughter,Labour,Hammersmith and Chiswick,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
282,Imogen Walker,Labour,Hamilton and Clyde Valley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
283,Kate Dearden,Labour and Co-operative,Halifax,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
284,Alex Ballinger,Labour,Halesowen,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
285,Zöe Franklin,Liberal Democrat,Guildford,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
286,Rupert Lowe,Reform UK,Great Yarmouth,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
287,Lauren Sullivan,Labour,Gravesham,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
288,Freddie Van Mierlo,Liberal Democrat,Henley and Thame,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
289,David Pinto-Duschinsky,Labour,Hendon,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
290,David Taylor,Labour,Hemel Hempstead,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
291,Lisa Smart,Liberal Democrat,Hazel Grove,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
292,John McDonnell,Labour,Hayes and Harlington,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
