ward_code,ward_name,ward_name_welsh,council,area_sq_km,canvassing_events,events_per_sq_km,has_canvassing_event,rank_by_events_per_sq_km,rank_by_events
W05001068,Waterfront,Y Glannau,Swansea,3.3980157085838316,1,0.2942893988023273,True,252,289
W05001568,Y Faenol,Y Faenol,Gwynedd,10.303417470176697,3,0.2911655291735502,True,253,126
W05001652,Bedwas and Trethomas,Bedwas a Threthomas,Caerphilly,10.352558017189025,3,0.2897834520723192,True,254,126
W05001243,Maesteg West,Gorllewin Maesteg,Bridgend,7.108591979385376,2,0.28134966893583396,True,255,192
W05001253,"Pyle, Kenfig Hill and Cefn Cribwr","Y Pîl, Cynffig a Chefn Cribwr",Bridgend,10.68911613672638,3,0.2806593137941873,True,256,126
W05001114,Upper Rhydfelen and Glyn-taf,Rhydfelen Uchaf a Glyn-taf,Rhondda Cynon Taf,3.5737240434188844,1,0.2798201505909581,True,257,289
W05001618,Dowlais and Pant,Dowlais a Phant,Merthyr Tydfil,10.81283541355896,3,0.27744804070892387,True,258,126
W05001594,Hawarden: Mancot,Penarlâg: Mancot,Flintshire,7.3752918253479,2,0.27117571038020016,True,259,192
W05001265,Llanhilleth,Llanhiledd,Blaenau Gwent,7.414088875549316,2,0.26975667996046493,True,260,192
W05001230,Brackla East and Coychurch Lower,Dwyrain Bracla a Llangrallo Isaf,Bridgend,7.438162267345429,2,0.26888362045827896,True,261,192
W05001042,Clydach,Clydach,Swansea,33.47632922198868,9,0.268846680898586,True,262,33
W05001172,Welshpool Castle,Y Trallwng Castell,Powys,18.666097502250672,5,0.26786531032515626,True,263,70
W05001662,Maesycwmmer,Maesycwmwr,Caerphilly,7.518773055236816,2,0.266000846854528,True,264,192
W05001110,Treforest,Trefforest,Rhondda Cynon Taf,3.773764369319916,1,0.2649873977638444,True,265,289
W05001175,Ynyscedwyn,Ynysgedwyn,Powys,3.803210556213379,1,0.2629357447397385,True,266,289
W05001698,Glynneath Central and East,Canol a Dwyrain Glyn-nedd,Neath Port Talbot,7.612873614776611,2,0.2627128862507311,True,267,192
W05001059,Penderry,Penderi,Swansea,3.8367923099861145,1,0.2606343839350582,True,268,289
W05001089,Llantrisant and Talbot Green,Llantrisant a Thonysguboriau,Rhondda Cynon Taf,11.612669643836975,3,0.258338529555273,True,269,126
W05001040,Bôn-y-maen,Bôn-y-maen,Swansea,7.785881119026184,2,0.2568752295886775,True,270,192
W05001258,Blaina,Blaenau,Blaenau Gwent,7.852324687553406,2,0.2547016430905064,True,271,192
W05001625,Treharris,Treharris,Merthyr Tydfil,8.072410844493866,2,0.2477574591442141,True,272,192
W05001583,Connah's Quay Central,Canol Cei Connah,Flintshire,4.069067350982666,1,0.2457565613305721,True,273,289
W05001356,Ruthin,Rhuthun,Denbighshire,8.184223318870544,2,0.24437260838038913,True,274,192
